timestamp,x,y,z,label
0.00,-976,328,-196,0
0.11,-968,328,-220,0
0.21,-956,324,-188,0
0.32,-956,324,-196,0
0.42,-956,332,-212,0
0.52,-964,320,-224,0
0.63,-952,324,-204,0
0.73,-972,320,-220,0
0.83,-940,328,-216,0
0.94,-952,332,-216,0
1.04,-936,328,-228,0
1.14,-964,308,-232,0
1.25,-964,324,-216,0
1.35,-964,316,-232,0
1.46,-940,316,-240,0
1.56,-932,324,-276,0
1.66,-944,328,-252,0
1.77,-928,320,-268,0
1.87,-960,320,-264,0
1.98,-952,328,-244,0
2.08,-908,332,-264,0
2.18,-948,320,-272,0
2.29,-952,320,-264,0
2.39,-920,328,-272,0
2.49,-956,340,-260,0
2.60,-936,340,-336,0
2.70,-932,324,-284,0
2.81,-932,328,-300,0
2.91,-916,336,-284,0
3.01,-920,336,-300,0
3.12,-928,332,-288,0
3.22,-924,328,-292,0
3.33,-932,324,-304,0
3.43,-924,332,-296,0
3.53,-928,328,-300,0
3.64,-928,332,-292,0
3.74,-940,328,-304,0
3.84,-908,328,-300,0
3.95,-908,328,-300,0
4.05,-936,328,-300,0
4.15,-920,320,-304,0
4.26,-916,320,-324,0
4.36,-912,324,-404,0
4.47,-920,280,-540,0
4.57,-1020,280,-680,0
4.67,-792,612,816,0
4.77,-924,-160,-1504,0
4.88,-656,-176,-1632,0
4.98,-1288,672,2040,0
5.09,-612,-96,-2040,0
5.19,-1256,176,516,1
5.29,-944,-200,-168,1
5.40,-532,-80,-2040,1
5.50,-2040,860,1976,1
5.61,-228,-612,-1464,1
5.71,-480,-260,-2040,1
5.81,-892,336,644,1
5.91,596,-80,-208,1
6.02,728,-1004,-1908,1
6.12,-124,152,784,1
6.22,756,-856,-1888,1
6.32,116,-772,-1316,1
6.43,8,124,648,1
6.53,452,-776,-964,1
6.63,1052,-1184,-1684,1
6.74,-540,652,1112,1
6.84,220,-1728,-1336,1
6.95,448,-1092,-1140,1
7.05,4,260,996,1
7.15,-1768,280,-624,1
7.25,-1236,116,-684,1
7.36,100,-236,1088,1
7.46,-2040,348,-1492,1
7.57,-524,-136,360,1
7.67,-256,120,480,1
7.77,-2040,124,-1912,1
7.88,-968,-88,12,1
7.98,24,-148,672,1
8.08,1480,-864,-2040,1
8.18,-512,4,484,1
8.28,820,-768,-1036,1
8.39,1044,-1032,-1568,1
8.49,-512,-32,428,1
8.59,1696,-1416,-1872,1
8.70,928,-1020,-1012,1
8.80,-156,376,2040,1
8.90,-1968,260,-2040,1
9.01,-920,-36,-624,1
9.11,96,-1040,-32,1
9.22,-1240,-48,-1416,1
9.32,-256,-368,-2040,1
9.42,-456,320,592,1
9.52,-120,-492,-1468,1
9.63,-224,-108,-1180,1
9.73,-228,-92,-948,1
9.83,-200,-76,-980,1
9.94,-112,-120,-980,1
10.04,-216,-84,-964,1
10.15,-168,-84,-948,1
10.25,-184,-88,-972,1
10.35,-128,-116,-920,0
10.46,-164,-104,-968,0
10.56,-144,-108,-952,0
10.66,-124,-128,-960,0
10.77,-72,-132,-960,0
10.87,-144,-120,-984,0
10.97,-92,-128,-944,0
11.08,-112,-124,-964,0
11.18,-136,-124,-996,0
11.28,-116,-132,-960,0
11.39,-136,-120,-980,0
11.49,-112,-124,-972,0
11.60,-144,-112,-988,0
11.70,-120,-128,-968,0
11.80,-120,-120,-960,0
11.91,-120,-124,-984,0
12.01,-104,-128,-960,0
12.11,-116,-124,-972,0
12.22,-120,-112,-968,0
12.32,-104,-116,-968,0
12.43,-116,-112,-992,0
12.53,-84,-128,-972,0
12.63,-128,-112,-980,0
12.74,-112,-108,-960,0
12.84,-104,-116,-964,0
12.94,-96,-120,-976,0
13.05,-120,-112,-972,0
13.15,-116,-120,-976,0
13.25,-84,-120,-976,0
13.36,-112,-112,-972,0
13.46,-100,-112,-980,0
13.57,-108,-116,-972,0
13.67,-96,-112,-992,0
13.77,-100,-112,-968,0
13.88,-112,-112,-968,0
13.98,-112,-116,-984,0
14.08,-116,-112,-976,0
14.19,-112,-116,-972,0
14.29,-100,-116,-984,0
14.39,-96,-120,-936,0
14.50,-88,-120,-976,0
14.60,-132,-124,-956,0
14.70,-108,-116,-960,0
14.81,-80,-184,-880,0
14.91,332,-292,-2040,0
15.01,-632,-80,404,0
15.12,-232,-472,-2040,0
15.22,-272,-432,-2004,0
15.32,-512,216,600,0
15.43,-504,-304,-776,0
15.53,552,-884,-1596,1
15.64,-1288,448,308,1
15.74,1568,-1200,-536,1
15.84,1452,-1168,-740,1
15.95,-1236,408,204,1
16.05,2004,-1068,-2040,1
16.15,96,-480,-348,1
16.26,-644,164,680,1
16.36,1328,-1388,-2040,1
16.47,64,-244,52,1
16.57,-1296,48,36,1
16.67,-1112,52,-2040,1
16.77,72,-380,384,1
16.87,-668,260,820,1
16.98,-1828,-24,-1608,1
17.08,276,204,1088,1
17.19,-700,-416,-1052,1
17.29,-1640,-264,-2040,1
17.39,-268,216,668,1
17.50,620,-912,-1328,1
17.60,708,-984,-1872,1
17.70,-360,144,732,1
17.81,672,-620,-864,1
17.91,92,-688,-964,1
18.01,-576,404,1016,1
18.12,1944,-1588,-1504,1
18.22,224,-508,-64,1
18.33,-104,160,976,1
18.43,-1600,-32,-2040,1
18.53,-956,-180,-512,1
18.64,368,268,1268,1
18.74,-2040,-184,-2040,1
18.85,-336,-116,92,1
18.95,32,408,1420,1
19.05,-1060,-952,-2040,1
19.16,-516,-140,240,1
19.26,-148,-184,372,1
19.36,880,-1840,-2040,1
19.47,-220,36,468,1
19.57,-348,108,280,1
19.67,756,-1496,-2040,1
19.78,-200,-148,136,1
19.88,128,-200,88,1
19.98,104,-836,-1584,1
20.08,216,-600,-1224,1
20.19,-252,68,-52,1
20.29,72,-1064,-1444,1
20.39,-420,-480,-1436,1
20.50,260,152,1068,1
20.60,-768,-208,-2040,1
